date,heure,type,duree,id_antenne_relais,source,destination
2023-10-17,13:44:00,appel sortant,2115,772700328.0,33681769391,33692787111
2023-01-16,19:00:00,appel sortant,3141,772751061.0,33618451818,33693862686
2023-11-14,06:19:00,appel entrant,1521,770990242.0,33671617255,33696567762
2023-09-27,19:24:00,appel sortant,1919,772290175.0,33649214253,33693028209
2023-03-28,03:19:00,sms entrant,0,772700032.0,33605917118,33618472331
2023-02-10,13:03:00,sms entrant,0,772290540.0,33686815822,33695118988
2023-08-03,10:05:00,sms entrant,0,772751417.0,33677503891,33660806970
2023-05-16,13:30:00,sms sortant,0,770990406.0,33646678926,33613615632
2023-04-29,17:51:00,sms entrant,0,772700577.0,33688669108,33657320538
2023-02-10,00:14:00,sms sortant,0,772290427.0,33658297252,33608758000
2023-11-30,11:39:00,appel entrant,3530,772290021.0,33670704872,33659022341
2023-12-29,13:38:00,appel entrant,1450,772290730.0,33665248712,33652059286
2023-11-28,11:14:00,appel entrant,102,772290442.0,33602248977,33683892141
2023-09-24,06:05:00,sms sortant,0,772750383.0,33688474123,33647366912
2023-04-03,08:05:00,appel sortant,2703,770990092.0,33604316397,33630813793
2023-12-16,10:01:00,sms entrant,0,772750648.0,33643517914,33640400510
2023-06-30,23:02:00,appel sortant,2786,772700511.0,33687917141,33664656463
2023-07-25,16:27:00,sms entrant,0,770990100.0,33638451255,33646341110
2023-05-03,04:12:00,sms sortant,0,772290722.0,33603581609,33678228897
2023-01-21,04:17:00,sms entrant,0,772290407.0,33690660074,33649605025
2023-09-25,15:38:00,sms sortant,0,770990415.0,33647719741,33686515270
2023-06-30,17:48:00,sms sortant,0,772290434.0,33640523309,33617549385
2023-02-15,13:20:00,appel sortant,688,770990032.0,33632329681,33607839920
2023-08-06,18:03:00,appel sortant,1715,772700350.0,33654220448,33629085137
2023-03-21,15:23:00,sms sortant,0,772751362.0,33659124208,33684300628
2023-04-01,18:17:00,sms entrant,0,772700144.0,33613629086,33664064582
2023-05-09,18:55:00,sms entrant,0,770990179.0,33635296352,33667195629
2023-01-01,17:13:00,appel sortant,939,772700512.0,33669885614,33679844301
2023-02-05,01:55:00,appel entrant,819,772700656.0,33636964985,33663829859
2023-04-07,13:33:00,sms entrant,0,772290111.0,33615158381,33694406716
2023-02-09,23:14:00,appel entrant,1117,772290222.0,33669713148,33677392658
2023-03-26,16:39:00,sms sortant,0,772290627.0,33627248304,33642503736
2023-05-12,03:03:00,appel sortant,3139,770990152.0,33646679136,33637945487
2023-12-16,17:09:00,appel sortant,949,772290111.0,33605276796,33651822152
2023-10-23,14:41:00,sms sortant,0,770990032.0,33610018834,33631334644
2023-05-26,01:40:00,appel sortant,247,772751347.0,33665509054,33624504504
2023-08-13,02:18:00,sms entrant,0,772290472.0,33642224329,33693336853
2023-10-16,03:07:00,appel sortant,1003,772751054.0,33635246587,33659976909
2023-08-05,20:19:00,appel sortant,994,772750109.0,33649566024,33678531273
2023-11-25,20:44:00,sms sortant,0,772290201.0,33603721723,33668273402
2023-11-04,07:47:00,appel entrant,34,772700153.0,33620392731,33647433669
2023-06-10,14:05:00,appel entrant,1953,772700454.0,33648648770,33690167173
2023-07-25,07:23:00,sms entrant,0,772290604.0,33633875211,33671641781
2023-11-09,02:13:00,appel sortant,2559,772750012.0,33619981785,33628167761
2023-03-10,12:56:00,sms sortant,0,772700257.0,33681005131,33605131026
2023-03-21,20:51:00,sms entrant,0,772700704.0,33650088937,33682767064
2023-08-06,06:24:00,sms sortant,0,772700008.0,33633942973,33691658422
2023-11-04,05:36:00,appel sortant,1462,772700612.0,33612464667,33655122967
2023-07-05,14:22:00,sms entrant,0,770990281.0,33673448298,33631348393
2023-11-12,00:33:00,sms sortant,0,772700200.0,33699860338,33654522206
2023-05-19,06:34:00,appel sortant,2879,772700258.0,33690422618,33609559899
2023-11-24,09:32:00,sms entrant,0,772290167.0,33684333220,33653669772
2023-12-22,02:33:00,sms sortant,0,,33666220904,33613773406
2023-09-10,12:36:00,sms sortant,0,772290276.0,33629519887,33652092903
2023-02-09,23:14:00,appel entrant,1117,772290222.0,33669713148,33652092903
2023-01-06,13:38:00,sms entrant,0,772290487.0,33631322274,33652092903
2023-08-06,18:03:00,appel sortant,1715,772700350.0,33654220448,33652092903
2023-11-09,02:13:00,appel sortant,2559,772750012.0,33619981785,33652092903
2023-02-15,13:20:00,appel sortant,688,770990032.0,33632329681,33652092903
2023-11-12,00:33:00,sms sortant,0,772700200.0,33699860338,33652092903
2023-02-22,17:15:00,appel entrant,809,772700339.0,33691346269,33652092903
2023-06-05,12:01:00,sms entrant,0,772290614.0,33635129868,33652092903
2023-07-03,03:27:00,sms entrant,0,770990400.0,33669306859,33652092903
