date,heure,type,dure,id_antenne_relais,source,destination
2023-07-02,23:48:00,appel sortant,147,770990476.0,33609097204,33685130680
2023-03-14,19:10:00,appel entrant,47,772290600.0,33671228253,33663911252
2023-08-26,03:56:00,sms entrant,0,772290090.0,33633298815,33694363539
2023-03-12,10:45:00,sms sortant,0,770990114.0,33666062674,33620690249
2023-03-24,11:10:00,sms entrant,0,772750936.0,33619193256,33618772065
2023-11-26,18:04:00,sms entrant,0,772700293.0,33629080030,33606991525
2023-02-14,18:46:00,sms sortant,0,772290655.0,33605751451,33601396958
2023-02-04,09:54:00,appel entrant,992,772751379.0,33677267917,33604500861
2023-07-17,05:32:00,sms entrant,0,772290249.0,33635214578,33609974802
2023-04-18,18:03:00,appel entrant,2818,772290383.0,33676229906,33626803082
2023-11-24,17:07:00,appel entrant,1914,772700580.0,33620376485,33601462834
2023-05-05,00:31:00,appel entrant,787,772750564.0,33675789064,33677951196
2023-05-04,20:37:00,appel entrant,2237,770990294.0,33668119469,33644404941
2023-12-24,06:02:00,appel entrant,2238,772700198.0,33679016633,33635612810
2023-02-17,14:12:00,appel entrant,250,772290744.0,33694291529,33681972601
2023-12-10,12:40:00,appel entrant,2764,772290495.0,33620903273,33639448381
2023-06-13,08:14:00,appel entrant,1796,770990519.0,33690320771,33664295751
2023-01-03,08:55:00,appel entrant,2863,772290498.0,33657958142,33623006721
2023-05-14,00:15:00,sms sortant,0,772751058.0,33616047725,33609063816
2023-11-26,22:26:00,sms entrant,0,772290371.0,33635105620,33697599639
2023-04-04,12:23:00,sms sortant,0,772700530.0,33659969562,33698031530
2023-07-12,15:17:00,appel entrant,2572,772290075.0,33699971740,33678571100
2023-04-16,23:43:00,sms entrant,0,772751235.0,33687225581,33639239271
2023-01-28,05:17:00,appel sortant,3160,772290293.0,33677439971,33668538325
2023-12-14,07:12:00,sms sortant,0,772290747.0,33609983074,33648197188
2023-03-03,17:26:00,sms entrant,0,772290705.0,33664908772,33685698026
2023-09-08,07:10:00,sms entrant,0,772290348.0,33637736959,33671544083
2023-09-09,01:43:00,sms sortant,0,772290120.0,33613915440,33610175789
2023-10-20,20:21:00,appel entrant,2004,772290549.0,33676485110,33690409740
2023-03-12,11:13:00,sms entrant,0,772751229.0,33642788220,33689586596
2023-05-10,00:03:00,appel sortant,299,772751093.0,33672985113,33657155310
2023-06-14,11:16:00,sms entrant,0,772751027.0,33611350037,33674456087
2023-04-28,15:18:00,sms sortant,0,772751367.0,33644741274,33635906018
2023-08-25,05:44:00,sms sortant,0,772290354.0,33646120623,33662003381
2023-11-29,13:19:00,appel entrant,1847,772700013.0,33614197783,33602276114
2023-03-18,09:49:00,appel entrant,3342,772290741.0,33675930048,33684363058
2023-10-04,07:30:00,sms entrant,0,772700474.0,33633531013,33621375481
2023-12-31,17:09:00,appel entrant,748,772290301.0,33608045676,33615971974
2023-09-03,19:27:00,sms sortant,0,772700116.0,33649724789,33650956520
2023-12-14,07:12:00,sms sortant,0,772290747.0,33609983074,33622668825
2023-02-12,08:02:00,appel sortant,1507,772700511.0,33656061259,33622668825
2023-07-06,22:10:00,sms sortant,0,772750997.0,33646733067,33622668825
2023-05-05,06:40:00,sms entrant,0,770990041.0,33690066882,33622668825
2023-05-10,00:03:00,appel sortant,299,772751093.0,33672985113,33622668825
2023-06-07,05:00:00,appel entrant,1314,772751335.0,33661353513,+33670056010
2023-01-03,08:03:00,sms entrant,0,772750559.0,33680141873,+33670056010
2023-02-17,14:12:00,appel entrant,250,772290744.0,33694291529,+33670056010
2023-09-09,02:49:00,appel sortant,2447,772290129.0,33658574423,+33670056010
2023-05-05,06:40:00,sms entrant,0,770990041.0,33690066882,+33670056010
