date,heure,type,dure,id_antenne_relais,source,destination
2023-11-25,04:20:00,sms sortant,0,772290261.0,+33643106576,+33643798800
2023-01-13,01:11:00,sms entrant,0,772750495.0,+33627973964,+33605006463
2023-06-05,08:13:00,appel sortant,981,772290718.0,+33689072433,+33634432432
2023-03-17,12:29:00,appel sortant,3223,770990034.0,+33640432451,+33652819500
2023-01-17,17:35:00,appel sortant,703,772290536.0,+33654953593,+33677110973
2023-02-14,09:39:00,appel sortant,375,770990128.0,+33613487462,+33692032281
2023-09-27,03:34:00,sms sortant,0,772290156.0,+33651613147,+33652822649
2023-01-09,22:55:00,sms entrant,0,772700299.0,+33693950786,+33666662152
2023-12-30,16:15:00,sms sortant,0,772700070.0,+33643387645,+33632418493
2023-04-25,05:36:00,appel sortant,103,772290656.0,+33681800912,+33662665408
2023-04-18,14:39:00,appel sortant,79,772290549.0,+33611853655,+33678319128
2023-12-31,06:11:00,appel entrant,290,772750749.0,+33616394570,+33679297381
2023-12-26,09:13:00,appel sortant,2526,772750978.0,+33637727272,+33619797660
2023-08-19,05:32:00,appel entrant,1627,772751229.0,+33658426952,+33682087222
2023-12-02,23:53:00,sms entrant,0,772750716.0,+33677792151,+33618321742
2023-07-13,17:26:00,sms sortant,0,772290308.0,+33661212038,+33664401944
2023-03-14,06:09:00,appel entrant,3352,770990194.0,+33680894323,+33676872482
2023-06-21,22:18:00,appel sortant,431,772751017.0,+33671169667,+33606993262
2023-02-21,00:11:00,sms sortant,0,772750509.0,+33648788179,+33640478720
2023-02-22,03:07:00,sms sortant,0,772750981.0,+33601201969,+33616454471
2023-11-29,12:36:00,sms entrant,0,772290215.0,+33695488010,+33690412864
2023-05-12,04:09:00,sms sortant,0,770990489.0,+33625490261,+33699392889
2023-10-01,02:00:00,appel sortant,863,770990164.0,+33669128543,+33627851286
2023-01-22,18:56:00,appel sortant,2415,772700660.0,+33687986201,+33635168404
2023-01-24,05:13:00,sms sortant,0,772751324.0,+33614058396,+33626492211
2023-12-14,12:26:00,sms entrant,0,770990030.0,+33620476476,+33656026415
2023-08-06,03:01:00,appel entrant,1331,770990162.0,+33666584126,+33623900810
2023-03-23,00:07:00,appel sortant,2513,772290487.0,+33610555610,+33683841182
2023-10-11,07:42:00,sms entrant,0,770990033.0,+33655063339,+33618904696
2023-08-04,17:53:00,appel sortant,3009,772700303.0,+33692062820,+33681593061
2023-01-10,03:21:00,sms sortant,0,772700659.0,+33674692237,+33677014931
2023-02-14,12:33:00,appel entrant,2042,772290738.0,+33630721088,+33677206622
2023-09-21,22:39:00,sms entrant,0,772751036.0,+33683884109,+33625094636
2023-10-11,11:30:00,appel sortant,1402,772290287.0,+33670505995,+33606197839
2023-10-22,09:29:00,sms sortant,0,772290120.0,+33627928575,+33640597689
2023-11-18,22:17:00,appel sortant,3255,772700126.0,+33631468555,+33660634544
2023-03-17,12:29:00,appel sortant,3223,770990034.0,+33640432451,+33634748333
2023-06-18,17:51:00,sms entrant,0,770990412.0,+33679483265,+33634748333
2023-03-14,06:09:00,appel entrant,3352,770990194.0,+33680894323,+33634748333
2023-01-05,22:20:00,sms sortant,0,772290224.0,+33651384312,+33634748333
2023-11-18,22:17:00,appel sortant,3255,772700126.0,+33631468555,+33634748333
